term,definition,long_definition,vernacular_definition,note,example
rebak,"1. deep cut, wound. 2. spread (of news, disease). Also ME-.","^1. deep cut, wound. ME-: deeply cut, have a bad cut. 2. spread (of news, disease). ME-: spread (of news, disease).",,,
rebewes,driver's license.,(Coll.) driver's license.,Kartu tanda mengemudi kendaraan bermotor.,,Jangan lupa membawa REBEWESmu setiap bepergian.
Rebo,see RABU.,see RABU.,,,
rebus,boil. ME-: to boil.,^boil. *ME-: to boil.,Memasak sesuatu dengan air.,,Sore ini saya akan MEREBUS ketela.
rebut,"BE-: 1. snatch away, take away by force 2. struggle to obtain s.t.","^*BE-: 1. snatch away, take away by force 2. struggle to obtain s.t. BE-2AN: struggle with e.o. ME-(KAN), MEM-(KAN): 1. seize, take by force 2. fight for, compete for and win s.t. -AN: 1. struggle, fight 2. object of struggle PE-AN: struggle, fight",,,*Anak-anak kecil BEREBUT mainan yang diberikan oleh guru mereka
receh,"uang receh = change, small money.","uang receh = change, small money. -AN: small money.",Uang kecil; uang pecahan yang tidak besar jumlahnya yang biasanya dipakai sebagai uang pengganti.,,Saya tidak membawa RECEHAN untuk uang jajan.
reda,"ME-: to abate, decrease in intensity.","ME-: to abate, decrease in intensity. *ME--KAN: to decrease.",Menjadi pelan sedikit demi sedikit; berkurang atau berhenti.,,Marahnya MEREDA setelah mendengar penjelasanku.
redaksi,editor; the rendering of a written passage.,1 editor. 2 the rendering of a written passage.,Suatu badan yang menyeleksi karangan yang akan diterbitkan dalam persurat kabaran.,,Karangan ini belum bisa diterbitkan karena belum diperiksa pemimpin REDAKSI.
redaktur,editor,editor.,,,Sudah tiga tahun dia menjadi REDAKTUR di koran itu
redup,"overcast, dull","1. overcast, dull 2. dull, dreary 3. extinguished ME~ = be overcast * ME~KAN = 1. cloud s.t. 2. muffle 3. dim the lights KE~AN = overcast condition",,,* Yasou MEREDUPKAN lampu
referensi,reference.,*reference.,Sumber acuan/pedoman.,,Buku-buku ini bisa kau pakai sebagai REFERENSI.
refleksi,reflection.,reflection.,Pantulan; cerminan dari suatu keadaan.,,
regenerasi,regeneration.,regeneration.,Penggantian hal lama dengan hal yang baru; peremajaan.,,
rekam,see REKAM.,see RAKAM.,,,
rekan,"peer, colleague, comrade.","peer, colleague, comrade.","teman, kawan.",,Bu Pipit adalah REKAN dagang kami yang terbesar.
rekat,glue s.t. together,"* ME- KAN = glue s.t. to s.t. else. KE--AN= adhesiveness. PE~ = glue, adhesive",,,* Saya MEREKATKAN kertas ke dinding
rekayasa,"engineer (changes, etc.)","engineer (changes, etc.) *--SOSIAL: social engeneering",,,Program bantuan kemiskinan ini memerlukan REKAYASA SOSIAL yang besar
reken,"ME-, NG-: to count, to take s.t. into account.","ME-, NG-: to count, to take s.t. into account.",Memasukkan sesuatu hal kedalam hitungan; memperkirakan.,,Salah besar kalau kita tidak MEREKEN kemampuannya.
rekening,a bill (as at a store or restaurant) or financial account.,a bill (as at a store or restaurant) or financial account.,Hitungan pembayaran bagi suatu pembelian atau pengeluaran.,,REKENING telepon ini harus segera dibayar.
rekonstruksi,reconstruction,reconstruction,,,
rekreasi,recreation,recreation *BE- : go out for recreation,tamasya,,"Setiap akhir minggu, keluarga Pak Rahman pergi BEREKREASI"
rektor,"rector (of a school, etc.)","*rector (of a school, etc.).",Orang yang mengepalai suatu perguruan tinggi.,,Bulan lalu REKTOR lama digantikan oleh REKTOR yang baru.
rel,"train track, railway track.","train track, railway track.",Dua jalur besi tempat dimana kereta api berjalan.,,
rela,"willing, consent to. ME--KAN: turn over willingly.","willing, consent to. ME--KAN: turn over willingly.",Bersedia; berkenan; tidak keberatan; dengan senang hati.,,Aku sudah MERELAKAN kepergian kedua orang tuaku sebagai kehendakNya. 
relevan,relevant,relevant *ME--KAN: make s.t. relevant,,,Apa yang kamu katakan itu sangat RELEVAN dengan pendapatku
rem,"brake. ME-, MENGE-: put on the brakes.","brake. ME-, MENGE-: put on the brakes.",,,
remaja,adolescent. ME--KAN: 1. rejuvenate. 2. replace the old people with the young.+,"^adolescent. ME--KAN: 1. rejuvenate. 2. replace old people with the young. PE-: rejuvenator. PE--AN: rejuvenation, renovation.",Orang-orang yang berumur belasan tahun; orang yang tidak lagi anak-anak tetapi belum juga dewasa.,,PEREMAJAAN tanaman adalah kunci keberhasilan perkebunan.
remas,"*ME--: press, knead; [Coll.] squeeze","*ME--: press, knead; [Coll.] squeeze",,,Kamu harus MEREMAS adonan roti ini dengan kuat
rembet,"see rembet1, see rembet2",see rembet1 see rembet2,,,
rembet,"hampered, obstructed","hampered, obstructed * ME~, ME~KAN = hamper, obstruct",,,* Badai salju MEREMBET perjalanan kami
rembet,creep,"creep * ME~ = 1. creep, climb up 2. hang down 3. spread ME~KAN = 1. cause s.t. to creep or hang 2. spread s.t. 3. involve PE~AN = involvement",,,* Pohon itu MEREMBET ke dinding
remeh,"trifling, of no importance","trifling, of no importance, of no consequence *ME--KAN: belittle *--TEMEH: belittle",menganggap sesuatu tidak penting,,Saya tidak bermaksud MEREMEHKAN pemberian kamu
rempah,spices.,*spices.,Bumbu.,,Rahasia masakan ini terletak pada REMPAHnya yang wangi.
rempela,see AMPELA,see AMPELA,,,
remuk,"crushed, shattered",*--REDAM: crushed to bits *ME--(KAN): crush to bits *KE--AN: state of being crushed,hancur lebur,,Gempa bumi telah MEREMUKKAN hampir seluruh kampung
renang,BE-: to swim. ME--I: to swim across s.t.,*BE-: to swim. *ME--I: to swim across s.t.,Menggerakkan badan di air.,,Dia bisa MERENANGI danau ini dalam waktu tigapuluh menit tanpa berhenti.
rencana,"program, plan, schedule. BER-: to have a plan. Also ME--KAN, PE-, PE--AN.","^program, plan, schedule. *BER-: to have a plan. *ME--KAN: to plan s.t. PE-: a planner. *PE--AN: planning.",rancangan.,,PERENCANAAN pembangunan pasar malam ini sudah dimulai sekarang.
renda,lace,"*BE-- : of lace, decorate with lace *ME-- : crochet",,,Ibu MERENDA baju pengantin Siti
rendabel,economically sound.,economically sound.,Cukup memberi keuntungan.,,
rendah,"low. ME-: descend. ME--KAN: to lower s.t. Also ME--KAN, KE--AN.",low. ME-: descend. *ME--KAN: to lower s.t. *KE--AN: 1 lowness. 2 to be too short.,Tidak tinggi; dekat dengan bawah.,,Segala perbuatannya mencerminkan KERENDAHAN HATInya.
rendam,"BE-: submerged. ME--KAN: submerge or soak s.t. Also TE-, PE--AN.",^*BE-: submerged. ME--KAN: submerge or soak s.t. *TE-: be submerged or soaked (in water). *PE--AN: the soaking or submerging of s.t.,Berada di dalam air.,,PERENDAMAN kedelainya harus dimulai sekarang kalau akan dibuat tahu besoknya.
rendang,meat simmered in spices and coconut milk. PE--AN: frying pan.,^meat simmered in spices and coconut milk. PE--AN: frying pan.,Nama masakan dari daerah Padang; daging/ayam yang dimasak dengan santan dan bumbu tertentu yang pedas rasanya.,,
rengek,"whine, whimper","whimper, whine, nagging *ME- = whining *-AN = whimpering, nagging.",,,Saya tidak tahan mendengar RENGEKAN mu itu
renggang,"distantly spaced, set wide apart; loose (of a knot). Also ME--KAN, MEMPE--KAN.","^1 distantly spaced, set wide apart. 2 loose (of a knot). ME--KAN, MEMPE--KAN: space s.t. at a distance.",Tidak rapat; suatu benda/hal yang saling berjauhan.,,Keluarganya berusaha MERENGGANGKAN hubungan cinta kasih kami.
rentak,"SE-: all at once, together. ME-(-KAN): tug, pull violently. TE-: pulled off.","^SE-: all at once, together. ME-(-KAN): tug, pull violently. TE-: pulled off.",Melakukan sesuatu secara bersamaan; renggut; mengambil sesuatu dengan kasar.,,Dengan SERENTAK kami menyahut panggilannya.
rentan,"susceptible (to illness, tantrums, etc.)","susceptible (to illness, tantrums, etc.)",,,Anak yang kurang gizi akan sangat RENTAN dengan penyakit
rentang,"*ME--: 1. stretch, extend; 2. build s.t. that spans or extends outward.","*ME--: 1. stretch, extend; 2. build s.t. that spans or extends outward. *ME--KAN: lay out, cause s.t to extend *TER--: extended, stretched out.",,,Indonesia TERENTANG dari Sabang sampai Merauke
rentet,"in line, one after the other","BE~2 = in line, one after the other ME~ = line up, extend in a line or series * ~ AN = series, sequence",~AN tembakan = a volley of a gunfire,,* RENTETAN peluru kembali terdengar setelah rombongan turis itu lewat
renung,"ME-: muse, daydream. ME--I, ME--KAN: mull over, ponder.","^ME-: muse, daydream. ME--I, ME--KAN: mull over, ponder.",Diam sambil memikirkan sesuatu; termangu.,,Tidak henti-hentinya dia MERENUNGI nasibnya yang buruk.
reparasi,repairs.,repairs.,Memperbaiki sesuatu hal yang rusak.,,
repelita,the five-year development plan of the Indonesian government.,"contraction for ""Rencana Pembangunan Lima Tahun,"" the five-year development plan of the Indonesian government.",,,
repot,"busy, occupied with s.t.; trouble, bother. Also REPOT-REPOT, ME--KAN, KE--AN.","^1 busy, occupied with s.t. 2 trouble, bother. REPOT-REPOT: to go to some trouble to do s.t. *ME--KAN: make trouble for. *KE--AN: 1 trouble, bustle. 2 to be troubled or busy.",sibuk; banyak kerja.,,Setelah punya anak tiga baru KEREPOTANnya terasa.
republik,republic.,republic.,,,
reruntuhan,ruins; see RUNTUH,ruins; see RUNTUH,,,
resah,"restless, nervous. ME--KAN: make restless or nervous. KE--AN: nervousness.","restless, nervous. ME--KAN: make restless or nervous. KE--AN: nervousness.",Tidak tenang; gelisah; gugup; galau; perasaan tidak menentu.,,Saya tidak tahu apa yang menyebabkan KERESAHAN hatinya.
resap,"ME-: to soak into, infiltrate, be absorbed into s.t.","ME-: to soak into, infiltrate, be absorbed into s.t.","Masuk ke dalam sesuatu hal, biasanya untuk benda cair.",,Tunggu dulu sampai bumbunya MERESAP baru ayamnya digoreng.
resensi,book review. PE-: book reviewer.,book review. PE-: book reviewer.,Pembicaraan/ulasan mengenai suatu buku karangan.,,Sebagai PERESENSI dia memang menguasai bidangnya.
resep,1. recipe. 2. prescription. 3. recommanded program. -AN: getting a prescription.,^1. recipe. 2. prescription. 3. recommanded program. -AN: getting a prescription.,Surat keterangan dari dokter tentang obat apa yang harus dibeli; keterangan tentang bahan-bahan apa dan bagaimana cara untuk memasak sesuatu.,,Ini RESEP kue yang kau senangi.
resepsi,reception. ME--KAN: hold a reception for s.o.,reception. ME--KAN: hold a reception for s.o.,"Pertemuan secara resmi yang diadakan untuk memperingati/merayakan suatu peristiwa (perkawinan, pelantikan, dll.).",,Perlukah kita MERESEPSIKAN perkawinan anak kita secara besar-besaran?
resiko,"risk, peril.","risk, peril.",,,
resmi,"official, formal. ME--KAN: make s.t. official or formal. Also PE--AN, PENG--AN.","^official, formal. *ME--KAN: make s.t. official or formal. *PE--AN, PENG--AN: official announcement or appointment.",sah; ditetapkan oleh badan/instansi yang bersangkutan.,,Pagi ini ada PERESMIAN pembukaan pameran lukisan.
restoran,restaurant.,restaurant.,,,
restu,blessing,"*ME-I :bless s.t., approve of",,,Orang tua Yanti tidak MERESTUI perkawinan Yanti dengan Susena
retak,"crack, burst, cracked","^*crack, burst, cracked ME-: to crack",,,"Kacamataku jatuh ke lantai untung tidak pecah, hanya retak"
retorika,rethoric,rethoric,,,
retribusi,fees.,fees.,biaya.,,Kita harus membayar RESTRIBUSI parkir di tempat ini.
revisi,revision.,revision.,Peninjauan untuk perbaikan kembali.,,Skripsiku masih harus DIREVISI beberapa kali lagi.
revolusi,revolution.,revolution.,Perubahan secara cepat dan mendasar pada suatu bidang/hal.,,
revolusioner,revolutionary.,revolutionary.,Sifat yang cenderung menghendaki perubahan yang cepat dan mendasar.,,Perubahan itu merupakan gerakan yang REVOLUSIONER.
rewel,1. hard to please; 2. fussy,"hard to please; troublesome KE-AN : choosiness, fussiness",Kata ini menjelaskan sifat orang yang tidak mudah diatur; banyak mulut; suka membantah; tidak berjalan lancar,,Ibu Hartono mempunyai sifat yang REWEL
riang,"1. cheerful, joyfull; 2. *ME-- : dizzy and feverish","*ME--KAN: cheer up, make happy excite *ME-- : dizzy and feverish *PE-- : cheerful person","gembira, senang, bahagia MERIANG = demam, sakit panas",,Orang yang PERIANG akan selalu berteman banyak
rias,"dress up, make oneself up. MEN-: dress up, make up.","dress up, make oneself up. ME-: dress up, make up.",hias; mempercantik.,,Kota ini sedang MERIAS diri untuk menyambut hari kemerdekaan.
Riau,a province in Indonesia.,"a province in Indonesia, located on the island of Sumatra. Its capital city is Penkanbaru.",,,
ribu,"thousand. SE-: one thousand. Also BE-_-_, BE-_-_-AN, -AN.",thousand. *SE-: one thousand. *BE-_-_: thousands *BE-_-_-AN: by the thousands. *-AN: 1 a one-thousand rupiah note. 2 s.t. in or by the thousands.,Jumlah dari kelipatan 10 kali 100.,,RIBUAN jumlah murid sekolah yang mendaftar tahun ini.
ribut,"noise, commotion; storm. Also ME--KAN, PE-.","^1 noise, commotion. 2 storm. ME--KAN: to cause a commotion, make a fuss about s.t. PE-: a troublemaker.",Suara yang banyak dan keras; gaduh; ramai karena suara.,,Jangan panggil si PERIBUT itu ke pestamu!
rimba,"forest, jungle.","forest, jungle.","Tempat dimana banyak terdapat pohon-pohon besar, semak, dan berbagai macam binatang; hutan.",,Harimau adalah penguasa RIMBA ini.
rimbun,"thick foliage, as in a forest.","thick foliage, as in a forest.",Pohon yang bercabang dan berdaun banyak; lebat; tempat dimana banyak terdapat pohon-pohon.,,Tebanglah semua pohon-pohon ini kecuali satu yang RIMBUN itu.
rinci,"detail. ME-(-KAN): plan; schedule; analyze in detail. Also KE--AN, -AN.","^ detail. ME-(-KAN): 1 plan, schedule. 2 analyze s.t. according to its details. KE--AN: specification. -AN: details, particulars. *PE--AN: details, the way s.t. is broken down; subsection. *TERPE--: with details specified.",Membagi-bagi sampai sekecil-kecilnya; menjelaskan sesuatu sampai sedetail-detailnya.,,RINCIAN anggaran tahun ini belum disetujui parlemen.
rindang,leafy and shady.,leafy and shady.,"Pohon yang banyak cabang, ranting, dan daunnya; rimbun.",,Mari kita duduk di tempat yang RINDANG itu.
rindu,"feeling of yearning. ME--KAN: to yearn for, to long for. Also KE--AN, PE-.","feeling of yearning. ME--KAN: to yearn for, to long for. KE--AN: yearning. PE-: o. who misses or yearns for s.t. or s.o.",Perasaan ingin sekali bertemu; perasaan ingin sekali mendapatkan sesuatu.,,KERINDUANku akan anak-anakku sering membuatku menangis.
ringan,light in weight; of minor importance. ME--KAN: to lighten s.t. Also KE--AN.,"^1 light in weight. 2 of minor importance. *ME--KAN: to lighten s.t. *KE--AN: 1 lightness. 2 relief, help. 3 to be too light.",Tidak berat; enteng; tidak berbobot.,,KERINGANAN hukuman diberikan kepada si terhukum yang berbuat baik selama dipenjara.
ringgit,2 1/2-rupiah coin or note; national currency of Malaysia and Brunei.,1 a silver coin or note worth two and a half rupiahs. 2 the national currency of Malaysia and Brunei.,Mata uang sejumlah dua setengah rupiah (tidak lagi dipakai di Indonesia); mata uang negara Malaysia dan Brunai.,,
ringkas,"brief, concise. ME--KAN: make brief or concise, summarize. -AN.","^brief, concise. *ME--KAN: make brief or concise, summarize. *-AN: resume, summary.",Simpel; tidak berbelit; sederhana.,,Cerita ini adalah RINGKASAN cerita Mahabarata.
ringkus,catch by binding the limbs,"ME~ = 1. catch by binding the limbs 2. take into custody, catch 3. confiscate",,,Polisi itu akhirnya MERINGKUS pelaku kerusuhan di Pasar Raya
rintang,"be preoccupied. -AN: hindrance, obstacle.","be preoccupied. -AN: hindrance, obstacle.",halang; ganjal.,,"Dalam permainan itu, segala RINTANGAN dengan mudah bisa dia atasi."
rintih,"ME-: to moan or groan. ME--KAN: to bemoan s.t., regret s.t. Also -AN.","ME-: to moan or groan. ME--KAN: to bemoan s.t., to regret s.t. -AN: a moan or groan.",Suara/erangan karena rasa kesakitan.,,RINTIHAN anak itu memangunkanku.
rintis,"ME-: 1. clear a way, path. 2. do pioneering work. Also ME--KAN, -AN. PE-, +","ME-: 1. clear a way, path. 2. do pioneering work. ME--KAN: clear a path for s.o. -AN: 1. pioneering effort. 2. path. PE-: pioneer. KEPE--AN: pioneering work.",,,
risau,"restless, nervous. ME--KAN: worry about s.t.; cause to worry. Also KE--AN.","^restless, nervous. ME--KAN: 1 to worry or fret over s.t. 2 to cause to worry. KE--AN: worry, restlessness.",Perasan yang tidak pasti akan sesuatu; gelisah.,,KERISAUAN akan kemarau panjang tidak berdasar.
riset,research. ME-: to do research.,research. *ME-: (to do) research.,penyelidikan; pengamatan.,,Para murid diharuskan MERISET guna suatu jenis tanaman.
risih,"feel uncomfortable about s.t.; risque, taboo","feel uncomfortable about s.t.; risque, taboo","malu, merasa tidak nyaman tentang sesuatu hal, tabu",,Saya merasa RISIH mendengar Sinta berbicara seperti itu
risik,BE-: 1. make a rustling noise; 2. be noisy,BE-: 1. make a rustling noise; 2. be noisy,,,
risiko,risk.,risk.,Akibat yang kurang/tidak baik dari suatu perbuatan.,,Apapun RISIKOnya aku siap menanggungnya.
ritul,"retool, reorganize. ME-: reorganize.","retool, reorganize. ME-: reorganize.",Mengadakan perubahan; perombakan (dalam kabinet).,,Dalam tahun ini presiden akan MERITUL kabinet.
riuh,"noisy, vociferous","noisy, vociferous. *--RENDAH: noisy, boisterous. *ME--KAN: increase volume of noise, make s.t. noisy. *KE--AN: din, clamor.",,,"Dengan RIUH-RENDAH, pengunjung bertepuk-tangan untuk pertunjukan sulap itu"
riwayat,"1. story, narrative, tale. 2. history. BE-: 1. narrate, relate a story. +","1. story, narrative tale. 2. history. BE-: 1. narrate, relate a story. 2. historic. ME--KAN: tell, narrate.",,,
RK,"""Rukun Kampung,"" a village association with political administrative functions.","acronym for ""Rukun Kampung,"" a village association with political administrative functions.",,,
robah,see UBAH,see UBAH,,,
robek,see SOBEK,see SOBEK.,,,
roboh,collapse,"1. Hit and know down; 2. overthrow, bring down ME-KAN: cause to come down KE-AN: collapse; ruins",jatuh; runtuh (untuk barang yang besar),,Diperlukan lima orang dewasa untuk MEROBOHKAN patung besi itu
roda,wheel. BE-: to have wheels.,wheel. *BE-: to have wheels.,"Barang bundar yang bisa bergerak maju dan mundur, biasa digunakan untuk menjalankan suatu kendaraan; jentera.",,Dokar adalah sejenis kendaraan yang ditarik olah kuda dan biasanya BERODA dua.
roh,"spirit, soul.","spirit, soul.",Sesuatu yang hidup dan berada di dalam badan; jiwa; badan halus.,,
rohani,spiritual. KE--AN: spirituality.,spiritual. KE--AN: spirituality.,,,
rok,skirt.,skirt.,,,
rokok,cigarette. ME-: to smoke a cigarette. PE-: a habitual smoker.,cigarette. *ME-: to smoke a cigarette. *PE-: a habitual smoker.,"Suatu gulungan kecil yang berisi tembakau, dll untuk dibakar dan diisap asapnya.",,Dulu ayahku adalah seorang PEROKOK yang kuat.
roman,"1. figure, looks. 2. novel. BER-(-AN): be in passionate love with. PE-: novelist","^1. figure, looks. 2. novel. BER-(-AN): (Coll.) be in passionate love with. PE-: novelist.",Keadaan wajah seseorang; buku cerita tentang percintaan; berkasih-kasihan.,,Sepupuku adalah seorang PEROMAN yang terkenal.
romantis,romantic. ME--KAN: romanticize.,romantic. ME--KAN: romanticize.,mesra.,,Lagu yang lembut itu MEROMANTISKAN suasana.
rombong,1. large rice bascket with cover. 2. pushcart. BER-: in large groups. +,"^rombong = 1. large rice basket with cover. 2. pushcart. rombong = BER-: in large groups. BE--AN: come in large groups. ME-: form a group. -AN: group, party, gang.",Keranjang/bakul yang ada penutupnya; sekelompok orang; sekumpukan orang.,,ROMBONGAN turis itu akan menginap di Hotel Dworowati.
romboter,butter,,,,Saya senang memakan roti dengan ROMBOTER
rompak,"ME-: commit piracy, PE-: pirate",ME-: commit piracy *PE-: pirate PE-AN: piracy,,,"Menurut cerita orang-orang, banyak PEROMPAK bermukim di sekitar Selat Makassar"
rompi,"waistcoat, vest","waistcoat, vest",,,Warna ROMPI ini serasi dengan warna rokku
ronda,"1. rounds, patrol, beat 2. guard, watchman","ME~ = make o.'s rounds, be on patrol * ME~I = patrol an area ~AN = patrol, night watch ** PE~ = patrol, watchman PE~AN = patroling, making the rounds",,,** Banyak anak muda MERONDA secara sukarela
rongga,"hollow, cavity.","hollow, cavity.",ruang; lubang.,,Sarang tawon itu bentuknya BERONGGA-RONGGA.
ronggeng,a traditional woman folk dancer.,*a traditional woman folk dancer.,Sebutan untuk seorang penari wanita di dalam suatu kesenian tradisional.,,Srintil adalah nama seorang RONGGENG yang terkenal dari Dukuh Paruk.
rongkong,see KERONGKONGAN.,see KERONGKONGAN.,,,
rongrong,gnaw at something; undermine something,"*ME- = disturb, upset *-AN = gnawing; undermining",ganggu,,"Berkat RONGRONGAN dari orang tuanya, dia berhasil menyelesaikan sekolahnya"
ronta,ME--: struggle to get loose,ME--: struggle to get loose *ME--(2): keep struggling to get free,,,Anjing itu MERONTA-RONTA berusaha melepaskan dirinya dari ikatan tali
rontak,see BERONTAK.,see BERONTAK.,,,
rontok,"dropp off, fall off, shed","*ME- = drop off, shed *ME-KAN = cause to shed, fall off","jatuh, gugur, runtuh",,Hujan yang deras telah MERONTOKKAN batu-batu dari gunung itu
rosot,"ME-: 1. slip off. 2. decline, sink. ME--KAN: decrease s.t. KEME--AN: decline.","ME-: 1. slip off. 2. decline, sink. ME--KAN: decrease s.t. KEME--AN: decline.",Menjadi lebih rendah; turun.,,"KEMEROSOTAN moral anak-anak muda itu karena pengaruh siaran TV yang kurang baik, menurut calon presiden itu."
rotan,rattan,*rattan,,,Tak ada ROTAN akarpun jadi (Ind. proverb)
roti,"bread, bun",*--BAKAR: toasted bread,,,Setiap hari kami makan ROTI BAKAR
royal,"extravagant, profligate","extravagant, profligate *BER--(2): splurge, waste money *PE--: a profligate",,,"Sejak mendapatkan warisan dari pamannya, Hadi hidup dengan ROYAL"
Rp,abbreviation of Rupiah.,abbreviation of Rupiah.,,,
RRC,People's Republic of China.,(Republik Rakyat Cina) People's Republic of China.,,,
RRI,"""Radio Republik Indonesia,"" Indonesian Radio Broadcasting system.","acronym of ""Radio Republik Indonesia,"" the Indonesian Radio Broadcasting system.",,,
RS,"""Rumah Sakit,"" the (any) hospital.","acronym for ""Rumah Sakit,"" the (any) hospital.",,,
RT,"""Rukun Tetangga,"" the Neighborhood Association.","acronym for ""Rukun Tetangga,"" the term for the ubiquitous neighborhood association which functions as the lowest level of political administration in Indonesia.",,,
ruah,"ME-: pour out, spill out. ME--KAN: empty s.t. KE--AN: overflow.","ME-: pour out, spill out. ME--KAN: empty s.t. KE--AN: overflow.",curah; limpah; tumpah.,,Penonton dangdut sudah tumpah-MERUAH di lapangan itu.
ruang,"-AN: 1 space. 2 room, hall.","^*-AN: 1 space. 2 room, hall.",Rongga yang dibatasi oleh suatu ruangan.,,RUANGAN ini adalah tempat belajar anak-anak.
ruas,"space between joints, internode",*- BAMBU = Joints of bamboo *- JARI = knucklebones,,,
rubah,see UBAH.,see UBAH.,,,
rubung,flow together in large quantities,"flow together in large quantities *ME--: gather around *ME--I: crowd in large numbers, flow over s.t. in large quantities.",,,Lalat MERUBUNGI makana yang terletak di meja
rudal,guided missile,guided missile ME- to shoot with a missile,,,
rugby,rugby.,rugby.,Sejenis permainan bola yang menggunakan kaki dan juga tangan.,,
rugi,"suffer a loss (usually financial). BE-, ME-: suffer losses. ME--KAN, KE--AN.","^suffer a loss (usually financial). *BE-, ME-: suffer losses. *ME--KAN: cause financial loss. *KE--AN: financial loss.",Tidak beruntung; tidak lama; kurang dari modal asalnya.,,Setelah dihitung-hitung ternyata KERUGIANnya banyak juga.
rujak,a type of fruit salad.,a type of fruit salad.,Makanan yang terdiri dari berbagai macam jenis buah-buahan dengan saos gula merah sebagai bumbu penyedapnya.,,
rujuk,1. reconcilliation; 2. reference,be reconciled with o's separated wife before divorce is final *--AN: reconciliation *--AN: reference *ME-- : in reference of,,,Argumen saya MERUJUK pada pendapat Larry Diamond
rukun,"harmonious, in harmony with. Also ME--KAN, KE--AN.","harmonious, in harmony with. *ME--KAN: pacify, bring about harmony. *KE--AN: peacefulness, harmony.",Tidak pernah bertengkar; bersatu; baik dan damai.,,KERUKUNAN BERTETANGGA sangat perlu supaya hidup bisa harmonis.
rumah,"house. PE--AN: housing, housing complex.","house. *PE--AN: housing, housing complex.",Bangunan sebagai tempat tinggal.,,Akan dibangun PERUMAHAN khusus untuk para pegawai rendahan di daerah ini.
rumput,"1. grass. 2. weeds. ME-: 1. gather grass. 2. to weed. Also ME--I, -AN, PE--AN.","1. grass. 2. weeds. ME-: 1. gather grass. 2. to weed. ME--I: to weed (a garden). -AN: weeds, grass. PE--AN: grassland, pasture.",,,
rumus,formula. ME--KAN: formulate.,formula. ME--KAN: formulate.,"Ringkasan dari hukum-hukum alam, kimia, matematika, dll.",,Komite ini yang akan MERUMUSKAN kebijakan yang baru.
runtuh,"collapse, fall out. ME-: collapse, fall down. Also KE--AN, -AN, PE-.","collapse, fall out. ME-: collapse, fall down. KE--AN: collapse, fall. -AN: ruins, debris, rubble. PE-: o. who causes collapse.",,,
runut,"trace, groove, forrow. ME-(-I): trail, track, follow. -AN: trace.","trace, groove, forrow. ME-(-I): trail, track, follow. -AN: trace.",,,
runyam,Coll. 1. be in difficulties; 2. damage; cause to fail,ME-KAN: make difficult,rumit; susah; sulit melakukan,,Jangan MERUNYAMKAN keadaan yang sudah sulit ini
rupa,"form, shape, appearance; kind, type. -NYA: apparently. Also SE-, BE-, ME--I, +","^1 form, shape, appearance. 2 kind, type. *-NYA: apparently. *SE-: similar, the same. *BE-: 1 have a certain shape. 2 handsome, pretty. ME--I: resemble. *ME--KAN: form, constitute, make up.",Keadaan yang tampak dari luar; wajah; muka.,,Makanan ini MERUPAKAN makanan kesayangan ibu.
rupiah,Indonesian unit of money.,Indonesian unit of money.,Mata uang yang dipakai di INDONESIA.,,
rusa,deer,deer,,,RUSA dapat berlari sangat cepat
rusak,"damaged, broken, broken down. ME-: damage, ruin s.t. Also ME--I, ME--KAN, +","^damaged, broken, broken down. *ME-: damage, ruin s.t. ME--I: damage s.t. repeatedly. *ME--KAN: destroy s.t. entirely. *KE--AN: damage, devastation, flaw.",Tidak bisa berfungsi semestinya; busuk; sudah tidak sempurna lagi keadaannya.,,KERUSAKAN sel-sel darah ini disebabkan oleh suatu virus yang aneh.
RUSI,Republic of the United States of Indonesia.,(Republik Indonesia Serikat) Republic of the United States of Indonesia.,,,
Rusland.,Russia.,Russia.,,,
rusuh,"restless, disturbed","^restless, disturbed ME-: become unsafe ME-I: render unsafe ME-KAN: cause a commotion, cause s.o. to worry *KE-AN: disturbance, riot, turbulence, turmoil **PE-: 1. rioter 2. terrorist PE-AN: riot, disturbance",,,"**Hingga hari ini, polisi belum menemukan PERUSUH Ambon"
rute,route.,route.,Arah yang dituju; jalan.,,
rutin,routine.,routine.,Pekerjaan yang sama yang dilakukan tiap hari dalam jangka waktu yang lama; kebiasaan.,,
ruwet,"complicated, difficult.","complicated, difficult.",Tidak mudah; kusut; kalut; rumit; sulit.,,Masalah ini menjadi RUWET karena adanya campur tangan banyak pihak.
RW,(Rukun Warga) administrative unit at the next-to-lowest level in city.,"^(Rukun Warga) administrative unit at the next-to-lowest level in city, consisting of several RT's.",,,
R.M.,"""Raden Mas,"" a title for Javanese men of noble descent.","short for ""Raden Mas,"" a title for Javanese men of noble descent.",,,
saat,"moment, instant in/of time. SE-: a moment (of time).","^moment, instant in/of time. *SE-: a moment (of time).",waktu; ketika.,,Saya tertidur SESAAT ketika menunggumu.
saban,each; every,*- hari = every day,,,SABAN HARI dia membersihkan kamar mandi
sabar,"patient, calm. MENY--I: to calm down, pacity. Also MENY--KAN, KE--AN, +","^patient, calm. MENY--I: to calm down, pacify. *MENY--KAN: 1 to have patience with, put up with. 2 to calm down. *KE--AN: patience, tolerance. *PENY-: a patient person.",tenang; tidak tegesa-gesa.,,Jadilah orang yang PENYABAR dalam menghadapi segala macam pengalaman
